EE50.SLX.8966.N701_N504.bam	EE50.SLX.8966.N701_N505.bam	EE50.SLX.8966.N701_N507.bam	EE50.SLX.8966.N701_N508.bam	EE50.SLX.8966.N702_N501.bam	EE50.SLX.8966.N702_N502.bam	EE50.SLX.8966.N702_N504.bam	EE50.SLX.8966.N702_N506.bam	EE50.SLX.8966.N703_N501.bam	EE50.SLX.8966.N703_N502.bam	EE50.SLX.8966.N703_N507.bam	EE50.SLX.8966.N704_N502.bam	EE50.SLX.8966.N704_N504.bam	EE50.SLX.8966.N704_N505.bam	EE50.SLX.8966.N704_N506.bam	EE50.SLX.8966.N704_N507.bam	EE50.SLX.8966.N704_N508.bam	EE50.SLX.8966.N705_N501.bam	EE50.SLX.8966.N705_N502.bam	EE50.SLX.8966.N705_N504.bam	EE50.SLX.8966.N705_N505.bam	EE50.SLX.8966.N705_N506.bam	EE50.SLX.8966.N705_N507.bam	EE50.SLX.8966.N706_N501.bam	EE50.SLX.8966.N706_N506.bam	EE50.SLX.8966.N706_N507.bam	EE50.SLX.8966.N707_N501.bam	EE50.SLX.8966.N707_N502.bam	EE50.SLX.8966.N707_N503.bam	EE50.SLX.8966.N707_N504.bam	EE50.SLX.8966.N707_N507.bam	EE50.SLX.8966.N707_N508.bam	EE50.SLX.8966.N708_N505.bam	EE50.SLX.8966.N708_N506.bam	EE50.SLX.8966.N708_N508.bam	EE50.SLX.8966.N709_N501.bam	EE50.SLX.8966.N709_N502.bam	EE50.SLX.8966.N709_N504.bam	EE50.SLX.8966.N709_N506.bam	EE50.SLX.8966.N709_N507.bam	EE50.SLX.8966.N709_N508.bam	EE50.SLX.8966.N710_N502.bam	EE50.SLX.8966.N710_N506.bam	EE50.SLX.8966.N710_N507.bam	EE50.SLX.8966.N710_N508.bam	EE50.SLX.8966.N711_N502.bam	EE50.SLX.8966.N711_N507.bam	EE50.SLX.8966.N712_N502.bam	EE50.SLX.8966.N712_N504.bam	EE50.SLX.8966.N712_N505.bam	EE50.SLX.8966.N712_N508.bam
PLCD4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF142	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
STK36	0	0	0	0	0	0	0	0	0	0	0	20	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	240	0	0	0	0	0	0
TTLL4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
FEV	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANKZF1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPEG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
SLC4A3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACSL3	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	272	0	0	0	0	0	0	0	0	0
SCG2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WDFY1	0	0	0	42	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113	0	0	0	0	0	0	0	0	61	0	0	0	0	972	0	0	0	0	0	0	0	0	0	0	327	0	0	0
MRPL44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	149	0	0	0	200	0	0	0	0
SERPINE2	0	77	0	351	0	0	149	19	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	119	0	0	0	220	66	0	216	1722	0	0	0	0	346	266	0	0	0	0	0	0	1269	0
AGFG1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149	0	0	0	0	0	0	0
SPHKAP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PID1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNER	0	2	0	0	0	0	0	0	0	346	6	0	0	0	5	0	0	0	0	0	0	29	91	0	0	0	0	0	0	0	0	0	0	898	0	2	0	398	0	0	0	46	0	0	0	0	0	0	0	0	0
TRIP12	1	0	0	0	0	0	1	54	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
FBXO36	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	1
SP110	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SP140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ITM2C	0	0	0	0	0	0	16	2	0	0	0	0	0	1	208	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	43	1	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0
GPR55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C2orf72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
PSMD1	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HTR2B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARMC9	0	0	0	0	0	0	83	23	0	0	164	0	0	1	0	0	0	0	0	0	0	0	0	3	57	0	0	206	0	0	0	0	0	0	0	2	0	133	0	0	0	0	0	0	0	0	0	0	0	0	0
B3GNT7	0	0	0	0	0	0	138	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PTMA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NPPC	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DIS3L2	0	0	0	0	0	0	0	0	0	113	0	0	0	62	1	1	0	0	0	1449	0	1	1	26	0	0	0	0	0	0	0	74	62	0	0	4	0	0	0	0	65	88	0	0	1	0	0	0	0	52	140
ALPP	0	0	0	0	0	404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALPPL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CHRND	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	129	0	0	0	0	0	0
CHRNG	0	0	521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0
EFHD1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C2orf82	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
INPP5D	0	0	16	0	0	0	13	1	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	6	0	0
SAG	0	0	206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UGT1A6	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UGT1A5	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SH3BP4	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC064874.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC079135.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASB18	0	0	0	0	0	0	0	0	0	0	0	0	0	110	0	0	0	0	0	0	0	0	0	0	2197	0	0	117	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	364	0
COL6A3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ESPNL	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KLHL30	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM132B	833	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	278	0	0	7	0	0	137	0	0	0	0	0	0	0	0	0	0	0	0
AC016757.1	172	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	63	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ILKAP	0	0	0	0	0	0	0	1	0	0	0	0	0	1	65	56	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC016757.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0
TRAF3IP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HDAC4	0	45	0	0	0	0	42	1	0	199	0	0	0	1	0	0	0	0	0	0	0	6	2	0	0	0	4	0	0	41	0	1	33	0	0	1	0	0	0	0	0	0	0	0	498	0	0	0	0	0	0
AC079612.1	0	0	0	0	0	0	0	0	0	78	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MYEOV2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GPC1	0	0	0	0	0	0	0	0	0	0	0	12	0	0	2	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0
AC110619.2	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANKMY1	0	0	0	53	0	0	102	0	0	0	0	288	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAPN10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GPR35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AQP12A	0	1	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KIF1A	0	220	0	0	0	0	1	0	0	0	0	4	0	12	17	1	7	0	0	1	137	32	22	3	0	0	79	0	0	47	0	0	22	0	0	36	0	219	0	0	0	0	0	0	1	0	0	0	0	0	0
SNED1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	173	1	0	0	0	0	0	0	0
PPP1R7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	86	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0
ANO7	0	0	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HDLBP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IL5RA	0	0	0	0	0	0	16	0	0	0	0	0	0	4	1	0	0	0	0	0	0	54	1	0	0	0	0	251	0	0	0	0	0	0	0	0	0	0	106	56	0	186	0	0	0	0	37	0	0	157	0
TRNT1	0	0	0	0	0	0	0	0	0	0	0	0	112	0	0	193	0	0	0	0	56	15	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	52	0	0	0	35	0	0	4	0	0	1348	0
SUMF1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LRRN1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ITPR1	0	0	0	28	55	0	0	0	0	19	0	0	0	5	102	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	124	327	0	246	32	0	77	181	129	0	0	284	0	0	0	17	0	0	0	17
AC018816.3	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARL8B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	155	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	132	0	0	0	0	0	0	0	0	0	0
SRGAP3	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
THUMPD3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SETD5	237	21	0	350	0	0	111	0	0	5	0	0	1315	262	0	0	0	7	0	0	89	5	0	2578	0	13	0	0	0	0	0	19	0	0	0	46	426	0	0	96	0	0	0	0	0	0	21	0	1	0	0
MTMR14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CPNE9	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	81	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	656	0	0	0	0	0	0
BRPF1	0	0	307	122	0	0	0	0	0	0	0	0	0	0	1	1	33	0	0	0	0	13	0	0	0	88	0	0	0	0	0	0	0	0	0	15	0	0	0	0	14	2	0	0	0	64	4	0	0	0	0
OGG1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAMK1	0	0	0	20	0	0	0	1	0	0	0	0	0	1	0	50	60	0	0	0	82	1	0	0	0	0	0	0	0	0	0	0	0	0	0	45	15	0	0	0	0	0	0	0	2148	0	0	0	0	0	0
TADA3	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARPC4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARPC4-TTLL3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPUSD3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102	0	0	0	0	0	0	0
JAGN1	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	22	0
IL17RE	1	0	0	0	7	0	1	0	0	0	0	0	0	34	1	1	110	0	0	1	0	11	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	246	0	0	0	0	0
IL17RC	0	0	0	0	27	0	0	0	0	0	167	0	0	12	0	92	0	0	0	0	0	35	0	0	0	0	0	0	0	62	15	0	0	0	0	21	0	56	0	0	0	53	0	0	733	0	0	0	0	0	39
CRELD1	0	0	0	0	0	0	1	0	0	0	0	0	0	12	1	1	0	0	0	1	30	29	0	0	0	0	0	0	0	55	74	0	1	0	0	17	0	0	0	0	0	13	0	122	813	0	0	22	0	67	13
PRRT3	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TMEM111	0	1	0	0	0	0	0	48	0	0	183	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
FANCD2	0	0	0	0	0	0	0	0	0	591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	11	0	0	0	0	0	0	0
C3orf24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	57	0	0	0	0	0
IRAK2	0	0	0	0	0	0	0	0	0	0	338	0	0	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	450	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TATDN2	0	0	0	0	0	0	0	0	0	0	333	104	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	416	0	0	0	0	0	0
HRH1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0
ATG7	1	196	0	9	0	0	1	0	0	0	0	0	0	0	1	230	32	0	1	1	0	0	0	0	0	0	87	0	0	0	0	0	1	0	0	3	0	0	683	0	79	39	0	0	1	0	0	192	0	0	10
VGLL4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0
TSEN2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RAF1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0
CAND2	0	0	767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IQSEC1	1	0	0	0	0	0	1	460	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
NUP210	0	0	0	0	0	0	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	235	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CHCHD4	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	30	0	3	0	0	578	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TMEM43	0	1	0	5	0	0	0	1	0	0	0	0	70	1	52	4	26	0	0	0	7	109	59	114	82	0	0	0	37	19	0	0	0	0	17	14	0	0	0	50	0	8	66	0	436	0	0	0	60	0	0
SLC6A6	0	44	0	2	0	0	3	0	0	0	0	0	30	3	0	0	55	0	0	0	0	24	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	76	0	9	0	0	0	0	0	0	0	0	0	0	0
C3orf19	0	0	0	0	0	0	0	0	0	5	0	234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FGD5	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	424	0	1	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	235	0
NR2C2	1	0	0	0	0	0	1	0	368	0	0	53	0	0	12	1	0	0	0	1	0	0	205	0	0	0	66	0	0	0	0	0	1	0	0	15	0	0	0	0	121	0	0	4	1	0	0	0	0	0	0
MRPS25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	274	0	0	0	0	0	0	0	0	0	0	0	0	7	421	3	0	0	104	0	0	0	1	0	0	0	179	0	0
ZFYVE20	0	0	0	0	0	0	0	0	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAPN7	0	0	0	76	0	0	83	0	0	369	103	0	4	0	0	0	82	0	0	0	98	0	101	0	0	0	0	0	0	0	0	0	0	34	0	3	0	24	0	0	23	0	0	0	0	0	0	0	0	0	0
SH3BP5	0	0	0	0	0	0	0	0	0	271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
METTL6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	227	0	0	0	0	0	0	0	0	0	0
EAF1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COLQ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BTD	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANKRD28	0	0	0	0	222	0	0	0	0	0	0	0	0	10	0	0	3	2588	0	0	0	0	0	0	0	0	0	0	11	332	0	35	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	984	0
GALNTL2	0	0	1811	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	5	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0
